Type,Address,alpha2code,city,postal_code,region
IPv4,149.28.112.0/20,US,Elk Grove Village,60007,US-IL
IPv4,149.28.128.0/19,SG,Singapore,627753,SG-05
IPv4,149.28.160.0/19,AU,Alexandria,2015,AU-NSW
IPv4,149.28.192.0/19,US,Santa Clara,95054,US-CA
IPv4,149.28.224.0/20,US,Piscataway,08854,US-NJ
IPv4,149.28.240.0/20,US,Dallas,75201,US-TX
IPv4,149.248.0.0/19,US,Los Angeles,90012,US-CA
IPv4,149.248.32.0/20,US,Kent,98032,US-WA
IPv4,149.248.48.0/20,CA,"Toronto, ON",M5A 2&5,CA-ON
IPv4,155.138.128.0/19,CA,"Toronto, ON",M5A 2&5,CA-ON
IPv4,155.138.160.0/20,US,Atlanta,30318,US-GA
IPv4,155.138.176.0/20,US,Santa Clara,95054,US-CA
IPv4,155.138.192.0/19,US,Atlanta,30318,US-GA
IPv4,155.138.224.0/20,US,Atlanta,30318,US-GA
IPv4,155.138.240.0/20,US,Dallas,75201,US-TX
IPv4,158.247.192.0/18,KR,Seoul,03922,KR-11
IPv4,167.179.64.0/18,JP,Shinagawa-ku,142-0002,JP-13
IPv4,173.199.64.0/24,NL,Amsterdam,2031,NL-NH
IPv4,173.199.65.0/24,US,Maryland Heights,63043,US-MO
IPv4,173.199.66.0/24,US,Dallas,75201,US-TX
IPv4,173.199.70.0/23,FR,AUBERVILLIERS,93300,FR-93
IPv4,173.199.72.0/21,GB,London,E14 9SZ,GB-LND
IPv4,173.199.80.0/24,US,Los Angeles,90012,US-CA
IPv4,173.199.81.0/24,JP,Shinagawa-ku,142-0002,JP-13
IPv4,173.199.83.0/24,US,Piscataway,08854,US-NJ
IPv4,173.199.84.0/22,US,Los Angeles,90012,US-CA
IPv4,173.199.88.0/21,US,Elk Grove Village,60007,US-IL
IPv4,173.199.97.0/24,US,Dallas,75201,US-TX
IPv4,173.199.104.0/24,US,Atlanta,30318,US-GA
IPv4,173.199.105.0/24,DE,Frankfurt,D-60314,DE-HE
IPv4,173.199.106.0/24,US,Piscataway,08854,US-NJ
IPv4,173.199.108.0/23,US,Atlanta,30318,US-GA
IPv4,173.199.110.0/24,NL,Amsterdam,2031,NL-NH
IPv4,173.199.111.0/24,NL,Amsterdam,2031,NL-NH
IPv4,173.199.112.0/23,NL,Amsterdam,2031,NL-NH
IPv4,173.199.114.0/23,US,Piscataway,08854,US-NJ
IPv4,173.199.116.0/22,US,Piscataway,08854,US-NJ
IPv4,173.199.120.0/22,US,Piscataway,08854,US-NJ
IPv4,173.199.124.0/22,US,Piscataway,08854,US-NJ
