Type,Address,alpha2code,city,postal_code,region
IPv6,2a05:f487:fc37::/48,US,Chicago,60616,US-IL
IPv6,2a05:f487:fc33::/48,GB,Chessington,KT9 1SJ,GB-LND
IPv6,2a05:f487:fc08::/48,US,Los Angeles,90012,US-CA
IPv6,2a05:f487:fc0c::/48,US,Dallas,75201,US-TX
IPv6,2a05:f487:fc07::/48,US,San Jose,95113,US-CA
IPv6,2a05:f487:fc04::/48,FR,AUBERVILLIERS,93300,FR-93
IPv6,2a05:f487:fc05::/48,US,Miami,33142,US-FL
IPv6,2a05:f487:fc35::/48,IT,Milan,20144,IT-IT-MI
IPv6,2a05:f487:fc0a::/48,DE,Frankfurt,D-60314,DE-HE
IPv6,2a05:f487:fc03::/48,NL,Amsterdam,2031,NL-NH
IPv6,2a05:f487:fc11::/48,US,Santa Clara,95054,US-CA
IPv6,2a05:f487:fc14::/48,SE,Spanga,163 53,SE-AB
IPv6,2a05:f487:fc06::/48,AU,Alexandria,2015,AU-NSW
IPv6,2a05:f487:fc19::/48,IN,Mumbai,400072,IN-MH
IPv6,2a05:f487:fc12::/48,KR,Seoul,03922,KR-11
IPv6,2a05:f487:fc02::/48,GB,London,E1 6QR,GB-LND
IPv6,2a05:f487:fc36::/48,US,Springfield,45502,US-OH
IPv6,2a05:f487:fc01::/48,US,Elk Grove Village,60007,US-IL
