Type,Address,Providers
IPv6,2a0d:3341:ca00::/39,starlink
IPv6,2a0d:3341:cc00::/39,starlink
IPv6,2a0d:3341:cf00::/40,starlink
IPv6,2a0d:3341:d400::/39,starlink
IPv6,2a0d:3341:d800::/39,starlink
IPv6,2a0d:3341:dc00::/38,starlink
IPv6,2a0d:3341:e000::/40,starlink
IPv6,2a0d:3341:e400::/38,starlink
IPv6,2a0d:3341:e800::/40,starlink
IPv6,2a0d:3341:ea00::/39,starlink
IPv6,2a0d:3341:ed00::/40,starlink
IPv6,2a0d:3341:ee00::/39,starlink
IPv6,2a0d:3341:f000::/38,starlink
IPv6,2a0d:3341:f400::/40,starlink
IPv6,2a0d:3341:f600::/39,starlink
IPv6,2a0d:3341:f800::/38,starlink
IPv6,2a0d:3341:fc00::/39,starlink
IPv6,2a0d:3341:fe00::/40,starlink
IPv6,2a0d:3344::/38,starlink
IPv6,2a0d:3344:1000::/40,starlink
IPv6,2a0d:3344:1280::/42,starlink
IPv6,2a0d:3344:1400::/39,starlink
IPv6,2a0d:3344:17c0::/42,starlink
IPv6,2a0d:3344:2000::/38,starlink
IPv6,2a0d:3344:2800::/40,starlink
IPv6,2a0d:3344:2c00::/39,starlink
IPv6,2a0d:3344:2e00::/40,starlink
IPv6,2a0d:3344:3000::/39,starlink
IPv6,2a0d:3344:3200::/40,starlink
IPv6,2a0d:3344:3500::/40,starlink
IPv6,2a0d:3344:3600::/42,starlink
IPv6,2a0d:3344:37c0::/42,starlink
IPv6,2a0d:3344:3800::/40,starlink
IPv6,2a0d:3344:3a00::/39,starlink
IPv6,2a0d:3344:3c00::/38,starlink
IPv6,2a0d:3344:4000::/35,starlink
IPv6,2a0d:3344:6000::/36,starlink
IPv6,2a0d:3344:7000::/37,starlink
IPv6,2a0d:3344:7800::/38,starlink
